         1511993 function calls (1485993 primitive calls) in 15.543 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      319    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        2    0.000    0.000    0.005    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
        8    0.000    0.000    0.005    0.001 _base.py:3273(grid)
       65    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
       16    0.000    0.000    0.005    0.000 axis.py:1707(grid)
     8952    0.002    0.000    0.005    0.000 {built-in method builtins.setattr}
        8    0.000    0.000    0.005    0.001 spines.py:142(get_window_extent)
      111    0.001    0.000    0.005    0.000 patches.py:800(get_patch_transform)
      208    0.002    0.000    0.005    0.000 _linalg.py:1133(eigvals)
      638    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
       12    0.000    0.000    0.004    0.000 core.py:1145(parse_string)
        3    0.000    0.000    0.004    0.001 patches.py:2293(__init_subclass__)
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
        6    0.000    0.000    0.004    0.001 patches.py:2335(pprint_styles)
       46    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
       22    0.001    0.000    0.004    0.000 typing.py:2993(__new__)
     3142    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
  906/862    0.000    0.000    0.004    0.000 contextlib.py:136(__enter__)
        1    0.000    0.000    0.004    0.004 pyplot.py:569(show)
        1    0.000    0.000    0.004    0.004 backend_bases.py:3520(show)
        1    0.000    0.000    0.004    0.004 backend_qt.py:643(show)
        1    0.001    0.001    0.004    0.004 {built-in method show}
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
        5    0.000    0.000    0.004    0.001 _base.py:2313(add_collection)
    25667    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
      104    0.001    0.000    0.004    0.000 bezier.py:247(polynomial_coefficients)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       24    0.000    0.000    0.004    0.000 ticker.py:2226(__call__)
      699    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
     2505    0.001    0.000    0.004    0.000 typing.py:1122(_is_unpacked_typevartuple)
       64    0.001    0.000    0.004    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
        8    0.001    0.000    0.004    0.000 backend_qt.py:721(_icon)
      528    0.000    0.000    0.004    0.000 font_manager.py:961(copy)
       95    0.000    0.000    0.004    0.000 font_manager.py:1293(findfont)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
  215/185    0.001    0.000    0.004    0.000 _base.py:851(_unstale_viewLim)
       23    0.000    0.000    0.004    0.000 patches.py:633(draw)
      464    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
     1727    0.001    0.000    0.004    0.000 artist.py:414(pchanged)
       23    0.000    0.000    0.004    0.000 patches.py:583(_draw_paths_with_artist_properties)
   306/12    0.001    0.000    0.004    0.000 core.py:806(_parseNoCache)
     7566    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
       24    0.000    0.000    0.004    0.000 ticker.py:2230(tick_values)
    72/12    0.000    0.000    0.004    0.000 core.py:4123(parseImpl)
      597    0.002    0.000    0.004    0.000 typing.py:1809(__hash__)
        8    0.000    0.000    0.004    0.000 axis.py:761(_set_scale)
     1447    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1792    0.002    0.000    0.003    0.000 typing.py:1368(__setattr__)
        8    0.000    0.000    0.003    0.000 scale.py:103(set_default_locators_and_formatters)
      712    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      319    0.003    0.000    0.003    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
9210/8151    0.002    0.000    0.003    0.000 artist.py:315(stale)
        8    0.000    0.000    0.003    0.000 core.py:5779(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:245(_check_versions)
      319    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     8073    0.002    0.000    0.003    0.000 __init__.py:698(_get)
      116    0.000    0.000    0.003    0.000 text.py:194(update)
  906/862    0.000    0.000    0.003    0.000 contextlib.py:145(__exit__)
     28/7    0.000    0.000    0.003    0.000 core.py:4658(leave_whitespace)
1771/1765    0.002    0.000    0.003    0.000 cbook.py:348(process)
     1492    0.003    0.000    0.003    0.000 {built-in method posix.stat}
       24    0.000    0.000    0.003    0.000 ticker.py:2157(_raw_ticks)
       22    0.000    0.000    0.003    0.000 typing.py:2974(_make_nmtuple)
     2491    0.001    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
       83    0.001    0.000    0.003    0.000 lines.py:672(recache)
        1    0.000    0.000    0.003    0.003 _pickle.py:1(<module>)
    56/15    0.000    0.000    0.003    0.000 typing.py:1483(_determine_new_args)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
      662    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
       24    0.000    0.000    0.003    0.000 axis.py:1538(get_minorticklocs)
      445    0.000    0.000    0.003    0.000 core.py:519(copy)
    56/15    0.000    0.000    0.003    0.000 typing.py:1512(_make_substitution)
      208    0.000    0.000    0.003    0.000 _function_base_impl.py:2517(__call__)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
       10    0.000    0.000    0.003    0.000 util.py:372(_inner)
     2863    0.002    0.000    0.003    0.000 typing.py:1294(_is_dunder)
     3787    0.002    0.000    0.003    0.000 enum.py:818(__setattr__)
      343    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
     1648    0.002    0.000    0.003    0.000 cbook.py:2010(_setattr_cm)
        2    0.000    0.000    0.003    0.001 version.py:1(<module>)
      131    0.000    0.000    0.003    0.000 text.py:1316(set_fontproperties)
      208    0.000    0.000    0.003    0.000 _function_base_impl.py:2487(_call_as_normal)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
      306    0.000    0.000    0.003    0.000 transforms.py:804(from_extents)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
      113    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 Image.py:344(preinit)
    24/21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1322(exec_module)
       48    0.000    0.000    0.003    0.000 ticker.py:214(format_ticks)
     2491    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        8    0.000    0.000    0.003    0.000 ticker.py:452(__init__)
    24/21    0.001    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
     7705    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
      581    0.002    0.000    0.003    0.000 cbook.py:1742(normalize_kwargs)
        3    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
      143    0.000    0.000    0.003    0.000 path.py:413(iter_bezier)
     5269    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
      208    0.001    0.000    0.003    0.000 _function_base_impl.py:2593(_vectorize_call)
     59/7    0.000    0.000    0.003    0.000 core.py:3880(leave_whitespace)
        8    0.000    0.000    0.003    0.000 ticker.py:573(set_useMathText)
     1029    0.002    0.000    0.003    0.000 font_manager.py:700(__hash__)
    22/18    0.000    0.000    0.003    0.000 axis.py:1206(_set_lim)
      712    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
       39    0.000    0.000    0.003    0.000 colors.py:1080(from_list)
        1    0.000    0.000    0.003    0.003 mathtext.py:1(<module>)
  206/194    0.000    0.000    0.003    0.000 _base.py:865(viewLim)
        1    0.000    0.000    0.002    0.002 _axes.py:218(legend)
     2703    0.001    0.000    0.002    0.000 cbook.py:468(_strip_comment)
       87    0.000    0.000    0.002    0.000 font_manager.py:1363(_find_fonts_by_props)
    33886    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      216    0.001    0.000    0.002    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.002    0.002 legend.py:354(__init__)
      115    0.000    0.000    0.002    0.000 typing.py:379(_remove_dups_flatten)
       22    0.000    0.000    0.002    0.000 core.py:5062(parseImpl)
     1878    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       64    0.000    0.000    0.002    0.000 util.py:361(replaced_by_pep8)
   129/61    0.000    0.000    0.002    0.000 core.py:3972(copy)
       23    0.002    0.000    0.002    0.000 backend_agg.py:93(draw_path)
     3612    0.001    0.000    0.002    0.000 {built-in method builtins.delattr}
      148    0.000    0.000    0.002    0.000 transforms.py:1472(transform)
      116    0.000    0.000    0.002    0.000 artist.py:1215(update)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
      311    0.001    0.000    0.002    0.000 function_base.py:487(add_newdoc)
      670    0.001    0.000    0.002    0.000 fromnumeric.py:51(_wrapfunc)
      337    0.001    0.000    0.002    0.000 artist.py:179(__init__)
      385    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
3050/2241    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
       88    0.000    0.000    0.002    0.000 artist.py:1243(_cm_set)
      356    0.001    0.000    0.002    0.000 inspect.py:811(_finddoc)
      260    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
        1    0.000    0.000    0.002    0.002 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
     1071    0.001    0.000    0.002    0.000 typing.py:1358(__getattr__)
        7    0.000    0.000    0.002    0.000 enum.py:887(_convert_)
      261    0.000    0.000    0.002    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
       10    0.000    0.000    0.002    0.000 argparse.py:1428(add_argument)
      153    0.000    0.000    0.002    0.000 font_manager.py:556(wrapper)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
 2071/471    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
