cuda
Execution time: 3.6003365516662598 seconds
         2518875 function calls (2475024 primitive calls) in 7.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3239    0.002    0.000    0.034    0.000 _ops.py:1024(<genexpr>)
        1    0.008    0.008    0.034    0.034 font_manager.py:1453(_findfont_cached)
   124920    0.034    0.000    0.034    0.000 {method 'startswith' of 'str' objects}
       12    0.000    0.000    0.034    0.003 axis.py:2223(_get_tick_boxes_siblings)
        1    0.000    0.000    0.034    0.034 graph_settings.py:1(<module>)
     3104    0.033    0.000    0.033    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
        6    0.000    0.000    0.033    0.005 offsetbox.py:685(draw)
        1    0.000    0.000    0.032    0.032 python.py:1(<module>)
      673    0.001    0.000    0.032    0.000 artist.py:1226(_internal_update)
210604/209303    0.031    0.000    0.032    0.000 {built-in method builtins.len}
     5889    0.031    0.000    0.031    0.000 {built-in method posix.stat}
      508    0.001    0.000    0.031    0.000 artist.py:146(<lambda>)
  196/132    0.001    0.000    0.031    0.000 spines.py:340(get_spine_transform)
        6    0.000    0.000    0.031    0.005 axis.py:2438(_update_label_position)
      105    0.004    0.000    0.031    0.000 enum.py:498(__new__)
        1    0.000    0.000    0.031    0.031 geo.py:1(<module>)
      508    0.001    0.000    0.031    0.000 artist.py:1237(set)
        1    0.000    0.000    0.031    0.031 _symbolic_trace.py:1(<module>)
        2    0.000    0.000    0.030    0.015 pyplot.py:1373(cla)
        2    0.000    0.000    0.030    0.015 _base.py:1448(cla)
    10606    0.030    0.000    0.030    0.000 {built-in method posix.lstat}
  196/132    0.000    0.000    0.030    0.000 spines.py:203(_ensure_position_is_set)
        1    0.006    0.006    0.030    0.030 {built-in method torch._C._initExtension}
    16/12    0.000    0.000    0.030    0.003 spines.py:300(set_position)
      122    0.000    0.000    0.030    0.000 __init__.py:287(compile)
     1127    0.002    0.000    0.030    0.000 _ops.py:1254(_get_packet)
     1001    0.030    0.000    0.030    0.000 {built-in method torch.sqrt}
        1    0.000    0.000    0.029    0.029 cm.py:1(<module>)
    89240    0.029    0.000    0.029    0.000 {method 'lstrip' of 'str' objects}
      135    0.004    0.000    0.029    0.000 lines.py:287(__init__)
        2    0.000    0.000    0.028    0.014 core.py:198(read_style_directory)
     1941    0.026    0.000    0.028    0.000 _ops.py:657(__init__)
        1    0.000    0.000    0.027    0.027 offsetbox.py:1(<module>)
    10263    0.027    0.000    0.027    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.027    0.014 _pytree.py:1(<module>)
     2064    0.008    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     1084    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        6    0.000    0.000    0.027    0.004 axis.py:2665(_update_label_position)
    10525    0.014    0.000    0.026    0.000 typing.py:1368(__setattr__)
     3323    0.012    0.000    0.026    0.000 typing.py:173(_type_check)
      292    0.004    0.000    0.026    0.000 typing.py:806(Optional)
     1701    0.008    0.000    0.026    0.000 typing.py:260(_collect_type_parameters)
      244    0.001    0.000    0.026    0.000 traceback.py:249(extract_stack)
        1    0.000    0.000    0.026    0.026 hub.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _vmap_internals.py:1(<module>)
     1127    0.026    0.000    0.026    0.000 {built-in method torch._C._jit_get_operation}
        3    0.000    0.000    0.026    0.009 graph.py:1(<module>)
      239    0.002    0.000    0.026    0.000 library.py:78(__init__)
     1941    0.026    0.000    0.026    0.000 {built-in method torch._C._get_operation_overload}
        1    0.000    0.000    0.026    0.026 axis.py:1(<module>)
        1    0.000    0.000    0.026    0.026 mock.py:1(<module>)
     4281    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      200    0.001    0.000    0.025    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
      244    0.001    0.000    0.025    0.000 traceback.py:427(extract)
    15/10    0.000    0.000    0.025    0.003 _ops.py:251(__init__)
        1    0.000    0.000    0.025    0.025 _lazy_graph_module.py:1(<module>)
     1317    0.005    0.000    0.025    0.000 inspect.py:959(getsourcefile)
      456    0.001    0.000    0.025    0.000 artist.py:1530(number_of_parameters)
      244    0.005    0.000    0.025    0.000 traceback.py:449(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.025    0.025 font_manager.py:1(<module>)
      336    0.010    0.000    0.024    0.000 _linalg.py:1133(eigvals)
        1    0.000    0.000    0.024    0.024 graph_module.py:1(<module>)
30043/30005    0.014    0.000    0.024    0.000 {built-in method builtins.hasattr}
      244    0.001    0.000    0.024    0.000 _meta_registrations.py:48(wrapper)
     1040    0.002    0.000    0.024    0.000 inspect.py:988(getabsfile)
     1001    0.024    0.000    0.024    0.000 {method 'reciprocal' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.024    0.024 request.py:1(<module>)
      509    0.024    0.000    0.024    0.000 {built-in method builtins.dir}
     2345    0.018    0.000    0.023    0.000 inspect.py:3014(__init__)
        2    0.000    0.000    0.023    0.011 _ops.py:1(<module>)
        1    0.000    0.000    0.023    0.023 polar.py:1(<module>)
      255    0.001    0.000    0.023    0.000 _compiler.py:576(_code)
      114    0.000    0.000    0.022    0.000 text.py:104(__init__)
     10/5    0.000    0.000    0.022    0.004 deprecation.py:442(wrapper)
        5    0.000    0.000    0.022    0.004 pyplot.py:3917(scatter)
      168    0.005    0.000    0.022    0.000 bezier.py:247(polynomial_coefficients)
        5    0.000    0.000    0.022    0.004 __init__.py:1518(inner)
        1    0.000    0.000    0.022    0.022 invoke_subgraph.py:1(<module>)
    73133    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
