         1570618 function calls (1544761 primitive calls) in 62.714 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.003    0.000 path.py:279(__deepcopy__)
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
        8    0.000    0.000    0.003    0.000 core.py:5779(__init__)
       45    0.000    0.000    0.003    0.000 lines.py:1035(get_path)
        1    0.000    0.000    0.003    0.003 legend.py:354(__init__)
    56/15    0.000    0.000    0.003    0.000 typing.py:1452(__getitem__)
      674    0.002    0.000    0.003    0.000 transforms.py:749(__init__)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        8    0.000    0.000    0.003    0.000 ticker.py:452(__init__)
     28/7    0.000    0.000    0.003    0.000 core.py:4658(leave_whitespace)
        8    0.000    0.000    0.003    0.000 collections.py:78(__init__)
     5269    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _pickle.py:1(<module>)
      335    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
      410    0.000    0.000    0.003    0.000 transforms.py:1340(__add__)
        3    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
     1792    0.002    0.000    0.003    0.000 typing.py:1368(__setattr__)
3050/2241    0.001    0.000    0.003    0.000 {built-in method builtins.hash}
        8    0.000    0.000    0.003    0.000 ticker.py:573(set_useMathText)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
       10    0.000    0.000    0.003    0.000 util.py:372(_inner)
      445    0.000    0.000    0.003    0.000 core.py:519(copy)
     7439    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
       24    0.000    0.000    0.003    0.000 axis.py:1534(get_majorticklocs)
      220    0.000    0.000    0.003    0.000 font_manager.py:677(_from_any)
       24    0.000    0.000    0.003    0.000 ticker.py:735(set_locs)
        1    0.000    0.000    0.003    0.003 version.py:161(Version)
     2741    0.002    0.000    0.003    0.000 enum.py:77(_is_private)
      166    0.001    0.000    0.003    0.000 path.py:99(__init__)
